nom_commune,cog_commune,siren_commune,nuance_politique,famille_nuance
Canapville,14131,211401310,NC,Non classé
Canchy,14132,211401328,NC,Non classé
Canteloup,14134,211401344,NC,Non classé
Carcagny,14135,211401351,NC,Non classé
Cardonville,14136,211401369,NC,Non classé
Carpiquet,14137,211401377,LNC,Non classé
Cartigny-L'Epinay,14138,211401385,NC,Non classé
Castillon,14140,211401401,NC,Non classé
Castillon-En-Auge,14141,211401419,NC,Non classé
Caumont-Sur-Aure,14143,200064871,LNC,Non classé
Cauvicourt,14145,211401450,NC,Non classé
Cauville,14146,211401468,NC,Non classé
Cernay,14147,211401476,NC,Non classé
Cesny-Aux-Vignes,14149,211401492,NC,Non classé
Cesny-Les-Sources,14150,200083160,,
Chouain,14159,211401591,NC,Non classé
Cintheaux,14160,211401609,NC,Non classé
Clarbec,14161,211401617,NC,Non classé
Clécy,14162,211401625,LNC,Non classé
Cléville,14163,211401633,NC,Non classé
Colleville-Sur-Mer,14165,211401658,NC,Non classé
Colleville-Montgomery,14166,211401666,LNC,Non classé
Colombelles,14167,211401674,LDVG,Gauche
Colombières,14168,211401682,NC,Non classé
Colombiers-Sur-Seulles,14169,211401690,NC,Non classé
Combray,14171,211401716,NC,Non classé
Commes,14172,211401724,NC,Non classé
Condé-Sur-Ifs,14173,211401732,NC,Non classé
Condé-En-Normandie,14174,200056877,LDIV,Courants politiques divers
Condé-Sur-Seulles,14175,211401757,NC,Non classé
Coquainvilliers,14177,211401773,,
Cordebugle,14179,211401799,NC,Non classé
Cordey,14180,211401807,NC,Non classé
Cormelles-Le-Royal,14181,211401815,LDVD,Droite
Cormolain,14182,211401823,NC,Non classé
Cossesseville,14183,211401831,NC,Non classé
Cottun,14184,211401849,NC,Non classé
Courcy,14190,211401906,NC,Non classé
Courseulles-Sur-Mer,14191,211401914,LDVD,Droite
Courtonne-La-Meurdrac,14193,211401930,NC,Non classé
Courtonne-Les-Deux-Eglises,14194,211401948,NC,Non classé
Courvaudon,14195,211401955,NC,Non classé
Crépon,14196,211401963,NC,Non classé
Cresserons,14197,211401971,LNC,Non classé
Cresseveuille,14198,211401989,NC,Non classé
Creully-Sur-Seulles,14200,200065118,LNC,Non classé
Cricqueboeuf,14202,211402029,NC,Non classé
Cricqueville-En-Auge,14203,211402037,NC,Non classé
Cricqueville-En-Bessin,14204,211402045,NC,Non classé
Cristot,14205,211402052,NC,Non classé
Crocy,14206,211402060,NC,Non classé
Croisilles,14207,211402078,NC,Non classé
Crouay,14209,211402094,NC,Non classé
Culey-Le-Patry,14211,211402110,NC,Non classé
Cussy,14214,211402144,NC,Non classé
Cuverville,14215,211402151,LNC,Non classé
Damblainville,14216,211402169,NC,Non classé
Danestal,14218,211402185,NC,Non classé
Deauville,14220,211402201,LDVC,Centre
Démouville,14221,211402219,,
Le Détroit,14223,211402235,NC,Non classé
Deux-Jumeaux,14224,211402243,,
Dives-Sur-Mer,14225,211402250,LDVG,Gauche
Donnay,14226,211402268,NC,Non classé
Douville-En-Auge,14227,211402276,NC,Non classé
Douvres-La-Délivrande,14228,211402284,LDVC,Centre
Dozulé,14229,211402292,LNC,Non classé
Drubec,14230,211402300,NC,Non classé
Beaufour-Druval,14231,211402318,NC,Non classé
Ducy-Sainte-Marguerite,14232,211402326,NC,Non classé
Ellon,14236,211402367,NC,Non classé
Emiéville,14237,211402375,NC,Non classé
Englesqueville-En-Auge,14238,211402383,NC,Non classé
Englesqueville-La-Percée,14239,211402391,NC,Non classé
Epaney,14240,211402409,NC,Non classé
Epinay-Sur-Odon,14241,211402417,NC,Non classé
Epron,14242,211402425,LNC,Non classé
Equemauville,14243,211402433,LNC,Non classé
Eraines,14244,211402441,NC,Non classé
Ernes,14245,211402458,NC,Non classé
Escoville,14246,211402466,NC,Non classé
Espins,14248,211402482,NC,Non classé
Esquay-Notre-Dame,14249,211402490,LNC,Non classé
Esquay-Sur-Seulles,14250,211402508,NC,Non classé
Esson,14251,211402516,NC,Non classé
Estrées-La-Campagne,14252,211402524,NC,Non classé
Eterville,14254,211402540,LNC,Non classé
Etréham,14256,211402565,NC,Non classé
Evrecy,14257,211402573,LNC,Non classé
Falaise,14258,211402581,LDIV,Courants politiques divers
Fauguernon,14260,211402607,NC,Non classé
Le Faulq,14261,211402615,NC,Non classé
Feuguerolles-Bully,14266,211402664,LNC,Non classé
Fierville-Les-Parcs,14269,211402698,NC,Non classé
Firfol,14270,211402706,NC,Non classé
Fleury-Sur-Orne,14271,211402714,LDVG,Gauche
La Folie,14272,211402722,NC,Non classé
La Folletière-Abenon,14273,211402730,NC,Non classé
Fontaine-Etoupefour,14274,211402748,LNC,Non classé
Fontaine-Henry,14275,211402755,NC,Non classé
Fontaine-Le-Pin,14276,211402763,NC,Non classé
Fontenay-Le-Marmion,14277,211402771,LNC,Non classé
Fontenay-Le-Pesnel,14278,211402789,LNC,Non classé
Formentin,14280,211402805,NC,Non classé
Formigny-La-Bataille,14281,200064913,NC,Non classé
Foulognes,14282,211402821,NC,Non classé
Fourches,14283,211402839,NC,Non classé
Fourneaux-Le-Val,14284,211402847,NC,Non classé
Le Fournet,14285,211402854,NC,Non classé
Fourneville,14286,211402862,NC,Non classé
Frénouville,14287,211402870,LNC,Non classé
Le Fresne-Camilly,14288,211402888,NC,Non classé
Fresné-La-Mère,14289,211402896,NC,Non classé
Fresney-Le-Puceux,14290,211402904,NC,Non classé
Fresney-Le-Vieux,14291,211402912,NC,Non classé
Fumichon,14293,211402938,NC,Non classé
Gavrus,14297,211402979,NC,Non classé
Géfosse-Fontenay,14298,211402987,NC,Non classé
Genneville,14299,211402995,NC,Non classé
Gerrots,14300,211403001,NC,Non classé
Giberville,14301,211403019,,
Glanville,14302,211403027,NC,Non classé
Glos,14303,211403035,,
Gonneville-Sur-Honfleur,14304,211403043,NC,Non classé
Gonneville-Sur-Mer,14305,211403050,NC,Non classé
Gonneville-En-Auge,14306,211403068,NC,Non classé
Goustranville,14308,211403084,NC,Non classé
Gouvix,14309,211403092,NC,Non classé
Grainville-Langannerie,14310,211403100,NC,Non classé
Grainville-Sur-Odon,14311,211403118,LNC,Non classé
Grandcamp-Maisy,14312,211403126,,
Grangues,14316,211403167,NC,Non classé
Graye-Sur-Mer,14318,211403183,NC,Non classé
Grentheville,14319,211403191,NC,Non classé
Grimbosq,14320,211403209,NC,Non classé
Guéron,14322,211403225,NC,Non classé
Hermanville-Sur-Mer,14325,211403258,LNC,Non classé
Hermival-Les-Vaux,14326,211403266,NC,Non classé
Hérouville-Saint-Clair,14327,211403274,LDVC,Centre
Hérouvillette,14328,211403282,LNC,Non classé
Heuland,14329,211403290,NC,Non classé
La Hoguette,14332,211403324,NC,Non classé
Honfleur,14333,211403332,LDIV,Courants politiques divers
L'Hôtellerie,14334,211403340,NC,Non classé
Hotot-En-Auge,14335,211403357,NC,Non classé
Hottot-Les-Bagues,14336,211403365,NC,Non classé
La Houblonnière,14337,211403373,NC,Non classé
Houlgate,14338,211403381,LNC,Non classé
Ifs,14341,211403415,LDVD,Droite
Isigny-Sur-Mer,14342,200064905,LDIV,Courants politiques divers
Les Isles-Bardel,14343,211403431,NC,Non classé
Janville,14344,211403449,NC,Non classé
Jort,14345,211403456,NC,Non classé
Juaye-Mondaye,14346,211403464,NC,Non classé
Dialan-Sur-Chaîne,14347,200066421,LNC,Non classé
Juvigny-Sur-Seulles,14348,211403480,NC,Non classé
Laize-Clinchamps,14349,200065092,LNC,Non classé
Landelles-Et-Coupigny,14352,211403522,NC,Non classé
Landes-Sur-Ajon,14353,211403530,NC,Non classé
Langrune-Sur-Mer,14354,211403548,LNC,Non classé
Ponts-Sur-Seulles,14355,200065068,LNC,Non classé
Terres-De-Druance,14357,200069714,NC,Non classé
Léaupartie,14358,211403589,NC,Non classé
Leffard,14360,211403605,NC,Non classé
Lessard-Et-Le-Chêne,14362,211403621,NC,Non classé
Lingèvres,14364,211403647,NC,Non classé
Lion-Sur-Mer,14365,211403654,,
Lisieux,14366,211403662,LDVD,Droite
Lison,14367,211403670,NC,Non classé
Lisores,14368,211403688,NC,Non classé
Litteau,14369,211403696,NC,Non classé
Le Molay-Littry,14370,211403704,LNC,Non classé
Livarot-Pays-D'Auge,14371,200060515,LDIV,Courants politiques divers
Les Loges,14374,211403746,NC,Non classé
Les Loges-Saulces,14375,211403753,NC,Non classé
Longues-Sur-Mer,14377,211403779,NC,Non classé
Longueville,14378,211403787,NC,Non classé
Longvillers,14379,211403795,NC,Non classé
Loucelles,14380,211403803,NC,Non classé
Louvagny,14381,211403811,NC,Non classé
Louvigny,14383,211403837,LNC,Non classé
Luc-Sur-Mer,14384,211403845,LNC,Non classé
Magny-En-Bessin,14385,211403852,NC,Non classé
Maisoncelles-Pelvey,14389,211403894,NC,Non classé
Maisoncelles-Sur-Ajon,14390,211403902,NC,Non classé
Maisons,14391,211403910,NC,Non classé
Maizet,14393,211403936,NC,Non classé
Maizières,14394,211403944,NC,Non classé
Maltot,14396,211403969,LNC,Non classé
Mandeville-En-Bessin,14397,211403977,NC,Non classé
Manerbe,14398,211403985,NC,Non classé
Manneville-La-Pipard,14399,211403993,NC,Non classé
Le Manoir,14400,211404009,NC,Non classé
Manvieux,14401,211404017,NC,Non classé
Le Marais-La-Chapelle,14402,211404025,NC,Non classé
Marolles,14403,211404033,NC,Non classé
Martainville,14404,211404041,NC,Non classé
Martigny-Sur-L'Ante,14405,211404058,NC,Non classé
Moulins-En-Bessin,14406,200065001,LNC,Non classé
