Libellé de la commune,Code de la commune,Nom de l'élu,Prénom de l'élu,Date de début du mandat
Prévessin-Moëns,01313,CHARILLON,Aurélie,18/05/2020
Priay,01314,CHARMETANT,Fabienne,18/05/2020
Ramasse,01317,PASSAQUET,Christian,18/05/2020
Rancé,01318,BIHLER,Fabien,18/05/2020
Relevant,01319,CURNILLON,Christiane,28/06/2020
Replonges,01320,VERNOUX,Bertrand,18/05/2020
Revonnas,01321,ROCHE,Patrick,18/05/2020
Reyrieux,01322,BONTEMPS-HESDIN,Carole,18/05/2020
Reyssouze,01323,PELUS,Agnès,28/06/2020
Rignieux-Le-Franc,01325,PAIN,Pascal,18/05/2020
Romans,01328,GAUTHIER,Jean-Michel,18/05/2020
Rossillon,01329,BOUVIER,Georges,18/05/2020
Ruffieu,01330,BROUSSART,Pierre,18/05/2020
Saint-Alban,01331,DE VECCHI,Béatrice,28/06/2020
Saint-André-De-Bâgé,01332,PLENARD,Philippe,18/05/2020
Saint-André-De-Corcy,01333,LOREAU,Ludovic,18/05/2020
Saint-André-D'Huiriat,01334,DUBOST,Michel,18/05/2020
Saint-André-Le-Bouchoux,01335,JAYR,Alain,18/05/2020
Saint-André-Sur-Vieux-Jonc,01336,QUIVET,Bernard,18/05/2020
Saint-Bénigne,01337,UNIA,Emily,18/05/2020
Groslée-Saint-Benoît,01338,SOUDAN,Henri,18/05/2020
Saint-Bernard,01339,REY,Bernard,18/05/2020
Sainte-Croix,01342,LEVRAT,Michel,18/05/2020
Saint-Cyr-Sur-Menthon,01343,PARET,Karine,18/05/2020
Saint-Denis-Lès-Bourg,01344,FAUVET,Guillaume,18/05/2020
Saint-Denis-En-Bugey,01345,COLLIGNON,Pascal,18/05/2020
Saint-Didier-D'Aussiat,01346,PICARD,Catherine,18/05/2020
Saint-Didier-De-Formans,01347,VALLOS,Frédéric,18/05/2020
Saint-Didier-Sur-Chalaronne,01348,DUMAY,Renaud,18/05/2020
Saint-Eloi,01349,CHAMPAULT,Jehan-Benoît,18/05/2020
Saint-Etienne-Du-Bois,01350,CHAPUIS,Alain,18/05/2020
Saint-Etienne-Sur-Chalaronne,01351,FAUVAIN,Gaétan,11/03/2022
Saint-Etienne-Sur-Reyssouze,01352,MARGUIN,Jean-Pierre,18/05/2020
Sainte-Euphémie,01353,ALBAN,Didier,18/05/2020
Saint-Genis-Pouilly,01354,BERTRAND,Hubert,28/06/2020
Saint-Genis-Sur-Menthon,01355,GREFFET,Christophe,18/05/2020
Saint-Georges-Sur-Renon,01356,PERI,Sonia,18/05/2020
Saint-Germain-De-Joux,01357,THOMASSET,Gilles,28/06/2020
Saint-Germain-Les-Paroisses,01358,CASTIN,Régis,18/05/2020
Saint-Germain-Sur-Renon,01359,MONIER,Christophe,18/05/2020
Saint-Jean-De-Gonville,01360,BRULHART,Michel,18/05/2020
Saint-Jean-De-Niost,01361,DALMAZ,Béatrice,18/05/2020
Saint-Jean-De-Thurigneux,01362,BERTHOMIEU,Stéphane,18/05/2020
Saint-Jean-Le-Vieux,01363,BATAILLY,Christian,18/05/2020
Saint-Jean-Sur-Reyssouze,01364,SALLET,Jacques,18/05/2020
Saint-Jean-Sur-Veyle,01365,RENOUD-LYAT DUPERRAY,Agnès,18/05/2020
Sainte-Julie,01366,CHAPPELLAZ,Lionel,18/05/2020
Saint-Julien-Sur-Reyssouze,01367,LIGERON,Nathalie,18/05/2020
Saint-Julien-Sur-Veyle,01368,REVOL,Serge,18/05/2020
Saint-Just,01369,LEVET,Patrick,18/05/2020
Saint-Marcel,01371,PETRONE,Dominique,18/05/2020
Saint-Martin-De-Bavel,01372,VINCENT,Xavier,18/05/2020
Saint-Martin-Du-Frêne,01373,TURC,Dominique,18/05/2020
Saint-Martin-Du-Mont,01374,DONGUY,Brigitte,18/05/2020
Saint-Martin-Le-Châtel,01375,DUBOIS,Sandrine,18/05/2020
Saint-Maurice-De-Beynost,01376,GOUBET,Pierre,18/05/2020
Saint-Maurice-De-Gourdans,01378,VENET,Fabrice,28/06/2020
Saint-Maurice-De-Rémens,01379,GAILLARD,Eric,18/05/2020
Saint-Nizier-Le-Bouchoux,01380,GUYON,Valérie,18/05/2020
Saint-Nizier-Le-Désert,01381,COURRIER,Jean-Paul,18/05/2020
Sainte-Olive,01382,PAUCHARD,Thierry,18/05/2020
Saint-Paul-De-Varax,01383,MANCINI,Cédric,02/05/2021
Saint-Rambert-En-Bugey,01384,CANARD,Josiane,18/05/2020
Saint-Rémy,01385,MALLET,Christophe,02/05/2021
Saint-Sorlin-En-Bugey,01386,MILLET,Patrick,18/05/2020
Saint-Sulpice,01387,FOURNIER,Clotilde,28/06/2020
Saint-Trivier-De-Courtes,01388,BERNARD,Yves,18/05/2020
